areaCode,areaName,areaType,date,cumDailyNoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-12-09,,6130.0,
E92000001,England,nation,2021-12-08,,6053.0,10154.0
E92000001,England,nation,2021-12-07,,6027.0,35127.0
E92000001,England,nation,2021-12-06,,5992.0,45753.0
E92000001,England,nation,2021-12-05,,5903.0,33513.0
E92000001,England,nation,2021-12-04,,5784.0,32018.0
E92000001,England,nation,2021-12-03,,5851.0,37937.0
E92000001,England,nation,2021-12-02,,5915.0,41793.0
E92000001,England,nation,2021-12-01,,5829.0,45884.0
E92000001,England,nation,2021-11-30,,6123.0,46380.0
E92000001,England,nation,2021-11-29,,6094.0,46556.0
E92000001,England,nation,2021-11-28,,5890.0,33018.0
E92000001,England,nation,2021-11-27,,5852.0,27764.0
E92000001,England,nation,2021-11-26,,5992.0,32856.0
E92000001,England,nation,2021-11-25,,6068.0,36215.0
E92000001,England,nation,2021-11-24,,6062.0,38887.0
E92000001,England,nation,2021-11-23,,6257.0,40076.0
E92000001,England,nation,2021-11-22,,6424.0,41895.0
E92000001,England,nation,2021-11-21,,6322.0,31040.0
E92000001,England,nation,2021-11-20,,6191.0,29209.0
E92000001,England,nation,2021-11-19,,6310.0,32461.0
E92000001,England,nation,2021-11-18,,6336.0,36227.0
E92000001,England,nation,2021-11-17,,6412.0,37422.0
E92000001,England,nation,2021-11-16,,6623.0,37682.0
E92000001,England,nation,2021-11-15,,6864.0,41520.0
E92000001,England,nation,2021-11-14,,6707.0,28906.0
E92000001,England,nation,2021-11-13,,6639.0,26799.0
E92000001,England,nation,2021-11-12,,6777.0,30563.0
E92000001,England,nation,2021-11-11,,6861.0,32901.0
E92000001,England,nation,2021-11-10,,6961.0,34559.0
E92000001,England,nation,2021-11-09,,7053.0,33885.0
E92000001,England,nation,2021-11-08,,7075.0,35284.0
E92000001,England,nation,2021-11-07,,6910.0,24879.0
E92000001,England,nation,2021-11-06,,6874.0,22059.0
E92000001,England,nation,2021-11-05,,7072.0,23833.0
E92000001,England,nation,2021-11-04,,7201.0,26073.0
E92000001,England,nation,2021-11-03,,7291.0,28426.0
E92000001,England,nation,2021-11-02,,7510.0,30418.0
E92000001,England,nation,2021-11-01,,7535.0,36747.0
E92000001,England,nation,2021-10-31,,7311.0,28899.0
E92000001,England,nation,2021-10-30,,7155.0,27683.0
E92000001,England,nation,2021-10-29,,7113.0,33264.0
E92000001,England,nation,2021-10-28,,7019.0,34355.0
E92000001,England,nation,2021-10-27,,6951.0,35766.0
E92000001,England,nation,2021-10-26,,6883.0,34548.0
E92000001,England,nation,2021-10-25,,6801.0,39130.0
E92000001,England,nation,2021-10-24,,6515.0,29488.0
